

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.011  000.011: --- NVIM STARTING ---
000.101  000.090: event init
000.192  000.091: early init
000.251  000.060: locale set
000.287  000.036: init first window
000.535  000.248: inits 1
000.552  000.016: window checked
000.617  000.066: parsing arguments
001.112  000.045  000.045: require('vim.shared')
001.219  000.043  000.043: require('vim._meta')
001.221  000.106  000.063: require('vim._editor')
001.223  000.200  000.049: require('vim._init_packages')
001.227  000.409: init lua interpreter
001.323  000.096: expanding arguments
001.362  000.039: inits 2
001.663  000.302: init highlight
001.665  000.002: waiting for UI
001.885  000.220: done waiting for UI
001.898  000.013: clear screen
002.020  000.121: init default mappings & autocommands
003.575  000.048  000.048: sourcing /usr/local/share/nvim/runtime/ftplugin.vim
003.888  000.031  000.031: sourcing /usr/local/share/nvim/runtime/indent.vim
004.265  000.086  000.086: require('hinell.std')
004.276  000.182  000.096: require('hinell.bootstrap')
022.702  000.276  000.276: require('packer.util')
022.770  001.407  001.131: require('packer')
023.769  000.273  000.273: require('packer.log')
023.773  000.501  000.228: require('packer.async')
024.262  000.211  000.211: require('packer.result')
024.265  000.491  000.280: require('packer.jobs')
024.272  001.364  000.372: require('packer.plugin_utils')
024.568  000.288  000.288: require('packer.snapshot')
031.768  006.904  006.904: require('hinell.options')
033.217  001.377  001.377: require('vim.filetype')
033.637  001.863  000.487: require('hinell.filetypes')
033.738  000.099  000.099: require('hinell.plugins')
033.788  000.045  000.045: require('hinell.plugins.dressing')
033.826  000.035  000.035: require('hinell.plugins.nvim-devicons')
033.983  000.147  000.147: require('hinell.plugins.nvim-tree')
034.605  000.618  000.618: require('statuscol')
034.835  000.014  000.014: require('ffi')
034.848  000.228  000.214: require('statuscol.ffidef')
036.445  000.005  000.005: require('vim.F')
036.485  001.312  001.307: require('vim.diagnostic')
039.191  000.387  000.387: require('vim.lsp.log')
040.339  001.144  001.144: require('vim.lsp.protocol')
043.279  000.623  000.623: require('vim.lsp._snippet')
043.587  000.303  000.303: require('vim.highlight')
043.606  003.264  002.338: require('vim.lsp.util')
043.620  005.513  000.717: require('vim.lsp.handlers')
044.507  000.884  000.884: require('vim.lsp.rpc')
044.921  000.411  000.411: require('vim.lsp.sync')
045.532  000.608  000.608: require('vim.lsp.semantic_tokens')
046.193  000.658  000.658: require('vim.lsp.buf')
046.577  000.381  000.381: require('vim.lsp.diagnostic')
047.018  000.439  000.439: require('vim.lsp.codelens')
047.106  010.619  001.725: require('vim.lsp')
047.111  012.262  000.331: require('statuscol.builtin')
047.268  000.065  000.065: require('hinell.plugins.ui.themes')
047.518  000.124  000.124: require('material.util.config')
047.521  000.246  000.122: require('material')
047.735  000.213  000.213: require('material.colors')
048.318  000.246  000.246: require('vscode.config')
049.162  000.842  000.842: require('vscode.theme')
049.165  001.371  000.283: require('vscode')
049.840  000.174  000.174: require('lualine_require')
050.107  000.903  000.730: require('lualine')
051.253  000.386  000.386: require('lualine.highlight')
055.641  000.124  000.124: require('lualine.utils.mode')
056.733  000.054  000.054: require('hinell.neovim-api')
057.854  000.130  000.130: require('cmp.utils.debug')
058.520  000.431  000.431: require('cmp.utils.char')
058.536  000.679  000.248: require('cmp.utils.str')
059.283  000.240  000.240: require('cmp.utils.misc')
059.417  000.131  000.131: require('cmp.utils.buffer')
059.591  000.173  000.173: require('cmp.utils.api')
059.598  000.862  000.318: require('cmp.utils.keymap')
059.602  001.065  000.203: require('cmp.utils.feedkeys')
060.712  000.144  000.144: require('cmp.types.cmp')
060.988  000.273  000.273: require('cmp.types.lsp')
061.108  000.118  000.118: require('cmp.types.vim')
061.146  000.697  000.162: require('cmp.types')
061.152  000.955  000.258: require('cmp.config.mapping')
061.300  000.147  000.147: require('cmp.utils.cache')
061.875  000.356  000.356: require('cmp.config.compare')
061.878  000.573  000.217: require('cmp.config.default')
061.906  001.994  000.318: require('cmp.config')
061.923  002.320  000.326: require('cmp.utils.async')
062.286  000.140  000.140: require('cmp.utils.pattern')
062.293  000.368  000.228: require('cmp.context')
063.698  000.260  000.260: require('cmp.matcher')
063.703  000.928  000.668: require('cmp.entry')
063.709  001.414  000.486: require('cmp.source')
064.104  000.137  000.137: require('cmp.utils.event')
